labels,sentence,kor_sentence
neutral,"Poyry Energy GmbH is Austria's leading engineering and consulting company in the energy, infrastructure and environment sector, owned by Poyry Plc. and the Austrian Verbund AG.","Poyry Energy GmbH는 에너지, 인프라 및 환경 분야에서 오스트리아의 선도적인 엔지니어링 및 컨설팅 기업으로, 포이리와 오스트리아 버분트 AG가 소유하고 있다."
positive,Poyry is recognized as one of the world's leading advisors to the global forestry industry.,포이리는 세계 임업 산업의 선도적인 조언자 중 한 명으로 인정받고 있다.
positive,Precedex is approved for IV sedation of initially intubated and mechanically ventilated patients in intensive care.,프리펙스는 중환자실에서 초기 삽관 및 기계적으로 인공호흡되는 환자의 링거 진정제를 투여할 수 있도록 승인되었다.
neutral,Press release 3 September 2009 Ruukki continues to be listed in two Dow Jones Sustainability Indexes : DJSI World and DJSI STOXX.,2009년 9월 3일 보도자료 루키는 DJSI 월드와 DJSI STOXX라는 두 개의 다우존스 지속가능성 지수에 계속 등재되어 있다.
neutral,"Previously, the plant was expected to be completed by the end of 2008.",이전에 이 발전소는 2008년 말까지 완공될 것으로 예상되었다.
neutral,Production at the plant will be based on Neste Oil's proprietary technology that can use a flexible input of any vegetable oil or animal fat.,이 공장의 생산은 식물성 기름이나 동물성 지방을 유연하게 투입할 수 있는 네스테 오일의 독점 기술을 기반으로 할 것이다.
neutral,"Prothious Engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes.","Prothious Engineering(www.prothious.com)은 1,000명 이상의 직원이 근무하고 있으며, 연간 100,000톤 이상의 세부 용량을 보유하고 있습니다."
neutral,QPR product family is fully compatible with Microsoft's Windows 7 operating system.,QPR 제품군은 마이크로소프트의 윈도우 7 운영 체제와 완전히 호환된다.
positive,Ramirent is a leading company in machinery and equipment rentals for construction and industry.,라미렌트는 건설 및 산업용 기계 및 장비 임대 분야의 선두 기업이다.
positive,Ramirent is the leading construction machinery rental company in Finland with annual sales of EUR 134 million in 2009 and operating nationwide through 83 outlets and 612 employees.,라미렌트는 2009년 연매출 1억3400만 유로에 달하는 핀란드 내 대표 건설기계 렌탈업체로 83개 아울렛과 612명의 직원을 통해 전국에 운영되고 있다.
neutral,Rapala aims to move the distribution unit Ragot from Loudeac in Bretagne and the distribution unit Waterqueen and the fishing line supplier Tortue from Saint Marcel in Central France to Morvillars.,"라팔라는 유통회사인 라고를 브레타뉴의 루디악에서, 유통회사인 워터퀸과 낚시선 공급회사인 토르트를 프랑스 중부 생마르셀에서 모빌라르로 옮기는 것을 목표로 하고 있다."
neutral,"RAPALA TOURNAMENT FISHING : With all the major titles already out for the holidays, bargain-priced games such as Rapala aim for a smaller audience.","라팔라 토너먼트 낚시: 휴일을 맞아 이미 모든 주요 타이틀들이 출시되었기 때문에, 라팔라와 같은 저렴한 게임들은 더 적은 관객을 목표로 한다."
neutral,"Regulatory News : The Nomination Committee of Cybercom ( STO : CYBE ), which is unanimous in its proposal, proposes the election of Jon Risfelt as the new Chairman of the Board.",규제 뉴스 : 사이버콤 지명 위원회 (STO : CYBE)는 만장일치로 존 리스펠트를 새로운 이사회 의장으로 선출할 것을 제안한다.
neutral,"RFID ( Radio Frequency Identification ) is a method of so-called intelligent transport, whereby information can be read and saved remotely.",RFID (무선 주파수 식별)는 정보를 원격으로 읽고 저장할 수 있는 소위 지능형 전송 방법이다.
neutral,"RK Group, headquartered in Vantaa, Finland, is one of Europe's leading machinery rental services.",핀란드 반타(Vanta)에 본사를 둔 RK 그룹은 유럽의 선도적인 기계 대여 서비스 중 하나이다.
positive,"Russia's top container shipping group, Fesco, and Finnish logistics company Nurminen Logistics have started a pilot project offering clients direct intermodal transportation service from Finland to Asia Pacific countries, Fesco said in a statement.",페스코는 성명에서 러시아 최고의 컨테이너 운송 그룹인 페스코와 핀란드 물류 회사인 누르미넨 로지스틱스가 핀란드에서 아시아 태평양 국가까지 직접 운송 서비스를 제공하는 시범 프로젝트를 시작했다고 밝혔다.
neutral,"S&P has kept its `` sell'' rating, while Nordea and UBS have reaffirmed their `` buy'' recommendations.",S&P는 ''매도'' 등급을 유지하고 있으며 노르데아와 UBS는 ''매수'' 권고를 재확인했다.
neutral,"Sanoma also has an Executive Committee, in accordance with the Company's Articles of Association, that prepares proposals for matters to be decided or noted by the Board of Directors.",사노마는 또한 회사의 정관에 따라 이사회가 결정하거나 주목할 사항에 대한 제안을 준비하는 실행 위원회를 가지고 있다.
neutral,"Sarantel, based in Wellingborough, UK, designs high-performance antennas for portable wireless devices.",영국 웰링버러에 본사를 둔 사란텔은 휴대용 무선 장치를 위한 고성능 안테나를 설계한다.
positive,Shareholders of Rakvere Lihakombinaat decided in favor of the buyout of minority shares in mid-July.,락베레 리하콤비나트의 주주들은 7월 중순 소수주 매입에 찬성하기로 결정했다.
neutral,Shares will be acquired in accordance with section 5 of the rules of NASDAQ OMX Helsinki and other rules applicable to the acquisition of own shares.,주식은 나스닥 OMX 헬싱키 규정 제5절 및 기타 자사주 취득에 적용되는 규칙에 따라 취득된다.
neutral,"She will succeed Krister Kylas, who has decided to leave TeliaSonera.",그녀는 텔리아소네라를 떠나기로 결정한 크리스터 카일라스의 뒤를 이을 것이다.
neutral,Shuweihat 2 got under way in July 2008 when the project was awarded to desalination and power contractors.,슈웨이하트 2는 2008년 7월 담수화 및 전력 도급업체에 프로젝트를 수주하면서 시작되었다.
neutral,"Simmons Elected DCUC Chairman PORTSMOUTH, N.H.-Gordon A. Simmons, CEO of Service Credit Union, has been elected chairman of the Defense Credit Union Council for the 2007-2008 term.",시몬스가 노스캐롤라이나주 포츠머스 의장으로 선출됐습니다 서비스공제조합의 CEO인 시몬스는 2007년부터 2008년까지 방위신협협의회 의장으로 선출되었다.
neutral,South America and Asia are other promising markets.,남아메리카와 아시아는 다른 유망한 시장이다.
neutral,Sponda plans to renovate old real estate and develop new property.,스폰다는 오래된 부동산을 개조하고 새로운 부동산을 개발할 계획이다.
neutral,Stock Exchange Release 10/3/2011 12:00 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report.,Stock Exchange Release 10/3/2011 12:00 Sanoma는 2010년 연례 보고서 및 재무 제표와 첫 번째 기업 책임 보고서를 발표했습니다.
neutral,"Stockholm-based Nordea Bank ( STO : NDA ) said yesterday it had hired Casper von Koskull to lead its corporate merchant banking and capital markets unit, effective 1 September.",스톡홀름에 본사를 둔 노르데아 은행(STO: NDA)은 9월 1일부터 카스페르 폰 코스쿨을 기업금융 및 자본시장 부문장으로 영입했다고 어제 밝혔다.
neutral,"Stonesoft is a global provider of proven, next generation solutions that simplify network security management.",Stonesoft는 네트워크 보안 관리를 단순화하는 검증된 차세대 솔루션을 제공하는 글로벌 업체입니다.
neutral,Strategic and operational business information is objectively reported.,전략 및 운영 비즈니스 정보가 객관적으로 보고됩니다.
neutral,"Swedish, Finnish and Danish listed companies are organized in three market cap segments, Nordic Large Cap, Mid Cap and Small Cap.","스웨덴, 핀란드, 덴마크 상장사는 노르딕 대형주, 중형주, 소형주 등 3개 시가총액 부문으로 구성된다."
neutral,Symphony Services provides development services for Aldata GOLD.,Symphony Services는 Aldata GOLD를 위한 개발 서비스를 제공합니다.
positive,Technopolis is Europe's leading operator of technoparks.,테크노폴리스는 유럽의 선도적인 테크노파크 운영자이다.
neutral,Technopolis's technological centers supply their clients with modern high-class premises.,테크노폴리스의 기술 중심지는 고객들에게 현대적인 고급 시설을 제공한다.
neutral,"Tekla provides 3D software for building and infrastructure engineering, with a focus on building information modelling of steel and concrete structures from design to construction.","Tekla는 건축 및 인프라 엔지니어링을 위한 3D 소프트웨어를 제공하며, 설계에서 건설에 이르기까지 강철 및 콘크리트 구조물의 건축 정보 모델링에 초점을 맞추고 있습니다."
neutral,"Teleste's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions, including HFC ( hybrid fibre-coaxial ), xDSL, EttH, and FttH.","Teleste의 하이브리드 TV 솔루션에는 HFC(하이브리드 파이버-동축), xDSL, EttH, FTTH 등 다양한 액세스 솔루션을 통해 고객에게 비디오 서비스를 제공하는 전체 프로세스가 포함되어 있습니다."
neutral,The adjustment measures will be carried out in phases to secure the delivery capability.,납품능력 확보를 위한 조정조치가 단계적으로 추진된다.
neutral,The agreement is valid for four years.,이 협정은 4년간 유효하다.
neutral,"The alliance aims to tap pocketable mobile computers, netbooks, tablets, mediaphones, connected TVs and in-vehicle infotainment systems.","이 동맹은 휴대용 모바일 컴퓨터, 넷북, 태블릿, 미디어폰, 커넥티드 TV, 차내 인포테인먼트 시스템을 태핑하는 것을 목표로 하고 있다."
neutral,The availability of the Internet services is highlighted in the service offer of Kesko's K-Group stores.,인터넷 서비스의 가용성은 케스코의 K-그룹 매장의 서비스 제공에서 두드러진다.
neutral,"The broker started UPM-Kymmene, Stora Enso and Sappi with ` equal-weight' recommendations and Holmen and Norske Skog with ` underweight' ratings.","브로커는 '균등 가중치' 권장사항으로 UPM-Kymmene, Stora Enso, Sapi를, '저중량' 등급을 받은 Holmen과 Norske Skog를 시작했다."
neutral,"The building complex consists of high-quality office and retail space totalling 49,200 square metres, the company said.","이 빌딩 단지는 총 49,200 평방 미터에 달하는 고품질의 사무실과 소매 공간으로 구성되어 있다고 회사측은 말했다."
neutral,"The business has sales of about ( Euro ) 35 million ( $ 44million ), and has been responsible for sales and marketing of Lanxess's paper chemicals business, which Kemira bought for ( Euro ) 88 million early this year ( CW, Jan. 11, p. 22 ).",케미라가 올해 초 8800만 유로에 인수했던 랑세스의 종이화학 사업의 매출과 마케팅을 담당하고 있다.
neutral,The business section also includes Ahlstrom's sustainability report.,사업 부문에는 알스트롬의 지속가능성 보고서도 포함돼 있다.
neutral,"The center offers a comprehensive range of device design services spanning from electronics, mechanics and software design to a full range of testing laboratory services.","이 센터는 전자, 기계, 소프트웨어 설계에서부터 모든 범위의 시험소 서비스에 이르기까지 포괄적인 범위의 기기 설계 서비스를 제공한다."
neutral,The commission said the hydrogen peroxide and PBS market was worth about 470 million euros in 2000.,위원회는 2000년 과산화수소와 PBS 시장 규모가 4억7000만 유로에 달했다고 밝혔다.
neutral,"The company designs, manufactures and markets high-quality clothing, interior decoration textiles, bags and other accessories.","이 회사는 고품질의 의류, 인테리어 장식 직물, 가방 및 기타 액세서리를 설계, 제조 및 판매하고 있다."
neutral,"The company designs and manufactures high-quality clothing, interior decoration textiles, bags, and other accessories.","그 회사는 고품질의 의류, 인테리어 장식 직물, 가방, 그리고 다른 액세서리들을 디자인하고 제조합니다."
neutral,"The company has delivered the technical infrastructure, used by NAV for their data warehouse and business intelligence initiatives.",이 회사는 데이터 웨어하우스 및 비즈니스 인텔리전스 이니셔티브를 위해 NAV가 사용하는 기술 인프라를 제공했습니다.
neutral,"The company is now withdrawing the second part, EUR 7.2 mn, of the investment commitment.",그 회사는 현재 투자 약속의 두 번째 부분인 EUR 7.2 mn을 철회하고 있습니다.
neutral,The company is presently examining whether the project would be financially feasible.,그 회사는 현재 그 프로젝트가 재정적으로 실현 가능한지 검토 중이다.
neutral,The company is studying the feasibility of focusing most of its processed meat production in the Vantaa facilities and the processing of fresh meat in the Forssa facilities.,가공육 생산의 대부분을 반타 시설에 집중시키고 신선육 가공은 포사 시설에 집중시키는 것이 타당성을 연구하고 있다.
positive,The company's strength is its Apetit brand.,그 회사의 강점은 Apet 브랜드입니다.
neutral,The company said shareholders will be able to vote on the agreement at an EGM scheduled for later this month.,이 회사는 주주들이 이달 말로 예정된 EGM에서 이 합의에 대한 투표를 할 수 있을 것이라고 말했다.
neutral,The company specialises in temporary electrification and heating at construction sites.,그 회사는 건설 현장의 임시 전기와 난방을 전문으로 한다.
positive,"The competition was received with great enthusiasm by the employees, he goes on.",이 대회는 직원들의 큰 열정으로 받아들여졌다고 그는 말한다.
neutral,"The cooperation will involve Arena Partners buying a 35 % share of the new joint venture company, operating in Alma Media's home sales, vehicle and consumer advertising marketplace businesses.","이번 협력에는 아레나파트너스가 알마미디어의 홈판매, 차량, 소비자광고시장 사업에서 영업 중인 새 합작법인 지분 35%를 인수하는 내용이 담길 예정이다."
neutral,The deliveries started in April 2006 and will be completed in 2007.,배송은 2006년 4월에 시작되어 2007년에 완료될 예정이다.
neutral,The desk will reach its full planned strength of ten persons in autumn 2007.,그 책상은 2007년 가을에 10명으로 계획된 최대 규모에 도달할 것이다.
neutral,"The dividend is payable on February 1, 2010 to shareholders of record on January 19, 2010.",배당금은 2010년 1월 19일에 기록된 주주들에게 2010년 2월 1일에 지급된다.
neutral,"The dividend will be paid on April 15, 2008 to each of the shareholders who on the record date of April 8, 2008 have been entered in the list of shareholders kept by the Finnish Central Securities Depository Ltd..",배당금은 핀란드 중앙증권예탁결제원이 보관 중인 주주명부에 2008년 4월 8일이라는 기록적인 날짜에 입력된 주주들에게 2008년 4월 15일 지급된다.
positive,The effect of the savings will be noticeable as of the beginning of 2010.,2010년 초부터는 절감 효과가 두드러질 것이다.
neutral,The effect of the savings will be noticeable from the beginning of 2010.,2010년 초부터 절감 효과가 두드러질 것이다.
neutral,"The end-to-end delivery combines the competencies and services from TietoEnators Telecom & Media, Processing & Network and Digital Innovations Business Areas.","엔드 투 엔드 제공은 TietoEnators Telecom & Media, 프로세싱 & Network, 디지털 혁신 비즈니스 영역의 역량과 서비스를 결합한다."
neutral,The EUR 0.7 million non-recurring expenses have been recorded for the third quarter.,3분기 비반복 지출액 70만 유로가 기록됐다.
neutral,The event can be followed on-line via Orion's Finnish homepage at www.orion.fi as well as via the Kauppalehti Live web service at www.kauppalehti.fi/live.,이번 행사는 오리온 핀란드 홈페이지(www.orion.fi)와 카우팔레티 라이브(www.kauppalehti.fi/live) 웹 서비스를 통해 확인할 수 있다.
neutral,The Extraordinary General Meeting is expected to take place no later than 18 February 2011.,임시 총회는 늦어도 2011년 2월 18일까지 열릴 예정이다.
neutral,"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden, whose personal artistic journey and work at Fiskars has led to dozens of design awards.",시네마 시리즈의 첫 회는 핀란드 발명가 올라비 린덴의 프로필로 마무리된다. 그는 피스카르에서 개인적인 예술 여정과 작업으로 수십 개의 디자인 상을 받았다.
neutral,The first of the two project phases is expected to be completed by the end of 2012.,두 프로젝트 단계 중 첫 번째 단계는 2012년 말까지 완료될 것으로 예상된다.
neutral,"The group also plans to launch the 270 room Atria Grand, Whitefield, a five star luxury hotel, in 2009.",이 그룹은 또한 2009년에 5성급 특급 호텔인 화이트필드의 270룸의 아트리아 그랜드도 출시할 계획이다.
neutral,"The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars, in the east of the country, where it already operates a hook manufacturing and distribution unit.","이 그룹은 Loudeac과 Saint Marcel에 있는 창고와 사무실 공간을 동부의 Morvillars로 이전할 계획이며, 이곳에서는 이미 후크 제조 및 유통 사업부를 운영하고 있다."
neutral,"The Group owns and operates a fleet of more than 800dwt, while container capacity is 17,000 TEUs, and manages a diversified fleet of its own railway rolling stock of over 17,000 units.","이 그룹은 800dwt 이상의 차량을 소유 및 운영하고 있으며 컨테이너 용량은 17,000TEU이며 17,000대 이상의 철도 차량을 관리하고 있다."
neutral,"The handset also features a Media Bar for quick access to favorite media and applications, including music, photos, YouTube or Ovi Share.","이 단말기는 음악, 사진, 유튜브, Ovi Share 등 좋아하는 미디어와 애플리케이션에 빠르게 액세스할 수 있는 미디어 바를 갖추고 있다."
neutral,"The Hayward, Calif.-based target designs active, casual and dress footwear, as well as boots and sandals.",캘리포니아 헤이워드에 본사를 둔 타깃은 활동적이고 캐주얼하며 드레스 신발은 물론 부츠와 샌들을 디자인한다.
neutral,"The important thing now is to keep the bank's existing 15,000 customers.",지금 중요한 것은 은행의 기존 고객 1만5000명을 유지하는 것이다.
neutral,"The Innova 2 building will be located close to downtown, in the immediate vicinity of Paviljonki and the travel center, and within walking distance from the heart of the city thanks to the trade fair bridge.",이노바2 빌딩은 시내와 가깝고 파빌리온키와 여행센터와 인접해 있으며 무역 박람회 다리 덕분에 도심에서 도보로 이동할 수 있는 거리에 위치하게 된다.
neutral,The interchange of Editors-in-Chief is a part of publisher's goal to enhance job circulation in all personnel groups.,편집국장 교환은 모든 인사 그룹의 일자리 순환을 증진시키려는 출판사의 목표의 일부이다.
neutral,The joint venture is planning a quick timetable for negotiating the lease of the potential wind farm areas and for charting the feasibility of the wind farms.,합작법인은 풍력발전 예정지역 임대차 협상과 풍력발전 타당성 도표를 위한 빠른 일정표를 계획하고 있다.
neutral,The Kyroskoski investment is to be completed in late 2011 and the +_+Ænekoski investment in the spring of 2012.,키로스코스키 투자는 2011년 말에 완료되고 +_+에네코스키 투자는 2012년 봄에 완료될 예정이다.
neutral,"The Lemminkainen Group, headquartered in Helsinki, Finland, operates in all sectors of the construction industry : civil engineering, building contracting, technical building services and the building materials industry.","핀란드 헬싱키에 본사를 둔 레민카이넨 그룹은 토목 공학, 건축 계약, 기술 건축 서비스, 건축 자재 산업 등 건설 산업의 모든 부문에서 운영되고 있다."
neutral,"The Lemminkainen Group, headquartered in Helsinki, Finland operates in all sectors of the construction industry : civil engineering, building contracting, technical building services and the building materials industry.","핀란드 헬싱키에 본사를 둔 레민카이넨 그룹은 토목 공학, 건축 계약, 기술 건축 서비스, 건축 자재 산업 등 건설 산업의 모든 부문에서 운영되고 있다."
neutral,"The Marubeni Group focuses on creating `` value chain'' from upstream to downstream, encompassing a wide variety of business fields, including oil & gas, metals, mineral resources, foods, pulp & paper and chemicals, among others.","마루베니 그룹은 상류에서 하류까지 ``가치 사슬""을 만드는데 초점을 맞추고 있는데 여기에는 석유 가스, 금속, 광물 자원, 식품, 펄프 & 종이 및 화학 등 다양한 사업 분야가 포함된다."
neutral,"The most interesting export markets will be Russia, the Baltic countries and Scandinavia.","가장 관심이 가는 수출 시장은 러시아, 발트해 국가, 스칸디나비아가 될 것이다."
neutral,"The most popular mobile data services are email, surfing the internet, as well as news and weather services.","가장 인기 있는 모바일 데이터 서비스는 이메일, 인터넷 서핑, 뉴스 및 기상 서비스이다."
neutral,The new B shares carry the right to dividend and other shareholder rights with effect from today.,신주 B주식은 오늘부터 배당권 및 기타 주주권이 있습니다.
neutral,The objective of the St. Petersburg office is first to boost the Company's maintenance business.,성 베드로 대성당의 목표. 피터스버그 사무소가 회사의 유지 사업을 활성화하기 위해 먼저 나섰다.
neutral,The office space will rise above the remodeled Cannon Street underground station.,사무실 공간은 개조된 캐넌 스트리트 지하역 위로 올라갈 것이다.
neutral,"The official opening of the office, located in Prague, will be celebrated on May 20.",프라하에 위치한 사무소의 공식 개관은 5월 20일에 기념될 것이다.
neutral,The oil shale feeder-supply solution will deliver crushed oil shale to the shale oil refinery already in operation as well as to the novel Enefit-280 shale oil technology processing plant.,오일 셰일피더 공급 솔루션은 이미 가동 중인 셰일오일 정유공장은 물론 새로운 셰일오일 가공공장에도 파쇄된 오일셰일을 납품하게 된다.
neutral,"The operator is one of 6 operators to have been granted a WiMAX license in Taiwan, and hopes to be the first to launch commercial services in early 2009.",이 사업자는 대만에서 와이맥스 라이선스를 받은 6개 사업자 중 하나이며 2009년 초에 상용 서비스를 최초로 개시하기를 희망하고 있다.
neutral,"The opportunity will be available only for few employees, however.",그러나 이 기회는 소수의 직원들만 이용할 수 있을 것이다.
neutral,"The order includes a steel frame, load-bearing roof structures and partition wall elements, and Rautaruukki said it expects to complete installation as early as May next year.","이번 주문에는 철골, 내하중을 받는 지붕 구조, 칸막이 벽 요소 등이 포함돼 있으며 라우타루키는 이르면 내년 5월 설치를 완료할 예정이라고 밝혔다."
neutral,The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate.,Oxyview Pulse Oximeter는 환자의 혈액 산소 포화도 및 맥박수를 확인하기 위한 일반적인 장치입니다.
neutral,The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ).,이 발전소는 지속 가능한 팜유에 관한 라운드테이블(RSPO)의 인증을 받은 팜유를 사용할 예정이다.
neutral,"The port operator, however, favors retaining the port fees in 2010, citing the owner, the governemtn of Estonia, commiting the port to pay EEK 400mn ( EUR 25.56 mn USD 36.44 mn ) in dividends to the state in 2009 and another EEK 300mn in 2010.","그러나 항만 운영업체는 2010년 에스토니아 정부가 2009년에 400만 유로(EUR 25.56n USD 36.44mn)를 국가에, 2010년에 또 다른 300만 유로(EUK)를 국가에 배당하기로 약속한 점을 들어 항만 이용료 유지를 지지했다."
positive,The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up.,통나무 가격은 2009년에 비해 확실히 개선되었고 펄프 원목 가격도 상승했습니다.
neutral,The product's front-edge folding maximizes weather resilience and enables a seamless roof finish.,제품의 전면 폴딩은 날씨 복원력을 극대화하며 원활한 루프 마감이 가능합니다.
neutral,"The program included operational improvements and reductions in personnel, mainly in the Netherlands.",이 프로그램에는 네덜란드를 중심으로 한 운영 개선과 인원 감축이 포함되었다.
neutral,The project is expected to be completed in 2009.,이 프로젝트는 2009년에 완료될 것으로 예상된다.
neutral,"The reason for this is St. Petersburg status as a capital, one of the participants in the meeting quoted Chikunov as saying.","그 이유는 세인트루이스에 있습니다. 회의 참석자 중 한 명은 치쿠노프의 말을 인용, 상트페테르부르크의 수도로서의 지위를 강조했다."
neutral,"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies, and brief profiles of other major players.",보고서는 이어 유럽의 10대 전문 화학회사들의 상세한 소개와 다른 주요 업체들의 간략한 소개도 제공한다.
neutral,"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation, Fiskars Corporation, Fiskars Brands, Inc., Husqvarna Outdoor Products Inc., K+S Group, Ryobi Technologies, Inc., The Scotts Miracle-Gro Company, and Van Group, Inc..","이 보고서는 블랙 앤 데커, 피스카스, 피스카스 브랜드, 후스크바르나 아웃도어 프로덕츠, K+S 그룹, 료비 테크놀로지스 등 전 세계 주요 및 틈새 업체 614개 기업을 프로파일링하고 있다. 스코츠 미라클그로 컴퍼니와 밴 그룹 주식회사.."
neutral,"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation, Fiskars Corporation, Fiskars Brands, Inc., Husqvarna Outdoor Products Inc., K+S Group, Ryobi Technologies, Inc., The Scotts Miracle-Gro Company, and Van Group, Inc..","이 보고서는 블랙 앤 데커, 피스카스, 피스카스 브랜드, 후스크바르나 아웃도어 프로덕츠, K+S 그룹, 료비 테크놀로지스 등 전 세계 주요 및 틈새 업체 614개 기업을 프로파일링하고 있다. 스코츠 미라클그로 컴퍼니와 밴 그룹 주식회사.."
neutral,"The Russian government will contribute 20 % of the necessary funds, he said.","그는 ""러시아 정부가 필요한 자금의 20%를 출연할 것""이라고 말했다."
neutral,"The sale will allow Campofrio to focus on its recently announced takeover of Groupe Smithfield Holdings, the European unit of Smithfield Foods Inc. ( SFD ) of the U.S.",이번 매각으로 캄포프리오는 미국 스미스필드식품(SFD)의 유럽법인인 그룹 스미스필드 홀딩스 인수에 집중할 수 있게 됐다.
neutral,"The scope of the project is to find the most cost-efficient method for phosphorous removal and to deliver the storing and dosing equipment, which can be used in continuous operation at the plants.",가장 비용 효율적인 인화제거 방법 발굴과 발전소 연속 가동이 가능한 저장·투약장비 납품 등이 사업 범위다.
neutral,The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones.,서버는 기기와 사용자 계정을 관리하고 데스크톱 클라이언트 애플리케이션은 휴대폰에 대한 원격 액세스를 가능하게 합니다.
neutral,The service developed by Digia facilitates the work and resourcing of health care personnel during vaccination campaigns while providing them with monitoring and management tools.,디지아가 개발한 서비스는 예방접종 캠페인 기간 동안 의료진들의 업무와 자원조달을 용이하게 하는 동시에 모니터링과 관리 도구를 제공한다.
neutral,The share of the share capital of both above mentioned shareholders remains below 5 %.,위에서 언급한 두 주주의 자기자본비율은 5% 미만이다.
neutral,The shares carry a right to dividend and other shareholder rights as from their registration with the Finnish Trade Register.,이 주식은 핀란드 무역등기소에 등록함으로써 배당권 및 기타 주주권을 가진다.
neutral,"The shares shall be repurchased through public trading, for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders.","주식은 공개거래를 통하여 환매하여야 하며, 그 때문에 주주의 보유에 비례하지 아니하고 다른 방법으로 환매하여야 한다."
neutral,The shipyard hopes the regional government in Andalusia can offer its some form of financial support.,조선소는 안달루시아 지방정부가 어떤 형태로든 재정적 지원을 제공할 수 있기를 바라고 있다.
positive,The shopping center will have a prime location right next to the Myllypuro metro station.,쇼핑 센터는 마이리푸로 지하철역 바로 옆에 가장 좋은 위치에 위치할 것이다.
positive,The solutions will be used for upgrading the networks of a Russian MSO in 37 different cities in Russia.,이 솔루션은 러시아의 37개 도시에서 러시아 MSO의 네트워크를 업그레이드하는 데 사용될 것이다.
neutral,"The StoneGate product family was designed to provide the full benefits of a unified management system including shared logging, reporting and auditing.","StoneGate 제품군은 공유 로깅, 보고 및 감사를 포함한 통합 관리 시스템의 모든 이점을 제공하도록 설계되었습니다."
neutral,The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia's special economic zone at Sriperumbudur near Chennai.,자회사는 첸나이 근처의 스리페룸부두르에 있는 노키아 경제특구에 고밀도 상호접속 인쇄회로기판(PCB)을 제조하기 위한 시설을 설립하고 있다.
neutral,"The subsidiary will be responsible for filter sales, local assembly of filters and after market services in China.","자회사는 중국에서 필터 판매, 필터 현지 조립, 애프터서비스 등을 담당하게 된다."
neutral,"The total number of shares in the company will be 585,236,987 Innofactor group Innofactor offers its customers comprehensive solutions in the Microsoft environment.","총 주식 수는 585,236,987주로 이노팩터 그룹은 마이크로소프트 환경에서 고객에게 포괄적인 솔루션을 제공할 예정이다."
neutral,The total value of the project is valued at SEK 30bn ( EUR 2.83 bn USD 3.81 bn ).,프로젝트의 총 가치는 300억 크로네(2.83 BN USD 3.81 bn)이다.
neutral,The trade is in accordance with the agreement announced on 26 March 2008.,이 무역은 2008년 3월 26일에 발표된 협정에 따른다.
positive,The training modules aim at strengthening the public accounting abilities and fulfilling communal project management.,교육 모듈은 공공 회계 능력 강화와 공동 프로젝트 관리를 수행하는 것을 목표로 합니다.
neutral,The transaction is expected to be completed next spring.,거래는 내년 봄에 완료될 것으로 예상된다.
neutral,The trucks feature an Eco Drive system - a fuel measuring tool which stores data particular to individual drivers.,이 트럭에는 Eco Drive 시스템(연료 측정 도구)이 장착되어 있어 개별 운전자의 데이터를 저장합니다.
neutral,The veneer and plywood industry in Sweden is quite small despite the raw material resources.,스웨덴의 베니어 및 합판 산업은 원자재 자원에도 불구하고 상당히 작다.
neutral,The writing and publication of Lemmink+Æinen -?s history is a continuation of earlier collaboration between Antti Tuuri and the company.,레밍크+아이넨 - s의 역사를 쓰고 출판한 것은 앤티 투우리와 회사 간의 초기 협업의 연속이다.
neutral,"These products include Personal Communications products such as mobile phones and their parts, Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations, tower-top amplifiers, and microwave systems.","휴대전화와 부품 등 퍼스널커뮤니케이션(Personal Communications) 제품과 평면TV용 셋톱박스, 전자제품 등 홈커뮤니케이션 제품, 기지국, 타워톱 앰프, 마이크로파 시스템 등 통신네트워크 제품 등이 해당 제품이다."
neutral,"They re in a race with Google to get lots of users onto their service as social networking creates new business models, said Martin Garner, a London-based analyst with CCS Insight.","CCS인사이트의 분석가인 마틴 가너는 ""소셜네트워킹이 새로운 비즈니스 모델을 창출함에 따라 구글과 경쟁하고 있다""고 말했다."
neutral,This beauty is an updated version of her chichi loop shade launched in 2001.,이 아름다움은 2001년에 출시된 그녀의 치치 루프 쉐이드의 최신 버전입니다.
positive,Through this transaction we are able to participate in developing the industry.,이 거래를 통해 우리는 산업 발전에 참여할 수 있습니다.
